Archivo,Fondo recomendado,Uso
iahorra-isotipo-principal.svg/png,Claro,Icono app/PWA y favicon sobre fondo claro
iahorra-isotipo-dark.svg/png,Oscuro,Icono app/PWA y favicon sobre fondo azul/negro
iahorra-horizontal-principal.svg/png,Claro,Header y login sobre fondo claro
iahorra-horizontal-dark.svg/png,Oscuro,Header y login sobre fondo azul/negro
iahorra-lockup-principal.svg/png,Claro,Piezas institucionales grandes
iahorra-lockup-dark.svg/png,Oscuro,Piezas institucionales grandes sobre fondo oscuro
